period_start,period,purchase_bid,sell_bid,mcv,mcp,final_scheduled_volume
2026-02-05 00:45:00,00:45 - 01:00,14583.5,35261.8,7953.7,2678.98,7953.7
2026-02-05 01:00:00,01:00 - 01:15,14970.5,35941.0,8385.28,2660.12,8385.28
2026-02-05 01:15:00,01:15 - 01:30,14949.1,36155.5,8661.53,2600.39,8661.53
2026-02-05 01:30:00,01:30 - 01:45,14725.3,36312.4,8753.45,2510.91,8753.45
2026-02-05 01:45:00,01:45 - 02:00,14678.9,36517.0,9027.76,2500.89,9027.76
2026-02-05 02:00:00,02:00 - 02:15,14688.2,36027.0,9276.93,2470.95,9276.93
2026-02-05 02:15:00,02:15 - 02:30,15006.6,36307.0,9584.41,2470.95,9584.41
2026-02-05 02:30:00,02:30 - 02:45,15295.3,36812.1,9965.52,2470.75,9965.52
2026-02-05 02:45:00,02:45 - 03:00,15630.4,36946.5,10076.01,2500.39,10076.01
2026-02-05 03:00:00,03:00 - 03:15,15596.7,37151.9,10199.99,2470.9,10199.99
2026-02-05 03:15:00,03:15 - 03:30,15603.4,37123.5,10203.69,2470.91,10203.69
2026-02-05 03:30:00,03:30 - 03:45,15642.7,37147.4,10121.71,2500.16,10121.71
2026-02-05 03:45:00,03:45 - 04:00,15593.1,37161.7,10094.72,2490.97,10094.72
2026-02-05 04:00:00,04:00 - 04:15,15579.0,36945.7,10114.63,2471.0,10114.63
2026-02-05 04:15:00,04:15 - 04:30,14681.2,36185.0,9365.97,2470.72,9365.97
2026-02-05 04:30:00,04:30 - 04:45,14631.1,35327.2,8953.6,2510.11,8953.6
2026-02-05 04:45:00,04:45 - 05:00,14059.3,34761.7,8549.5,2490.77,8549.5
2026-02-05 05:00:00,05:00 - 05:15,13973.9,30411.6,7740.2,2691.67,7740.2
2026-02-05 05:15:00,05:15 - 05:30,13899.4,27709.7,7587.3,2856.41,7587.3
2026-02-05 05:30:00,05:30 - 05:45,14647.0,24286.2,7648.3,3175.59,7648.3
2026-02-05 05:45:00,05:45 - 06:00,15312.5,22438.2,7690.3,3320.04,7690.3
2026-02-05 06:00:00,06:00 - 06:15,15354.2,19557.9,7362.6,3321.85,7362.6
2026-02-05 06:15:00,06:15 - 06:30,17035.1,16873.4,8704.4,3940.42,8704.4
2026-02-05 06:30:00,06:30 - 06:45,17904.9,15408.9,8854.9,3999.07,8854.9
2026-02-05 06:45:00,06:45 - 07:00,19695.6,15733.5,9692.0,4064.78,9692.0
2026-02-05 07:00:00,07:00 - 07:15,22269.8,16232.8,11668.3,4999.46,11668.3
2026-02-05 07:15:00,07:15 - 07:30,25490.9,15579.3,12385.41,6800.22,12385.41
2026-02-05 07:30:00,07:30 - 07:45,26554.6,15674.4,12708.71,8700.31,12708.71
2026-02-05 07:45:00,07:45 - 08:00,26340.8,15571.4,12614.71,8700.34,12614.71
2026-02-05 08:00:00,08:00 - 08:15,25770.3,16435.5,13030.4,6254.75,13030.4
2026-02-05 08:15:00,08:15 - 08:30,25223.9,17473.0,13144.3,4880.85,13144.3
2026-02-05 08:30:00,08:30 - 08:45,24079.4,18913.6,13175.87,4399.66,13175.87
2026-02-05 08:45:00,08:45 - 09:00,24021.6,20130.5,13318.33,3943.63,13318.33
2026-02-05 09:00:00,09:00 - 09:15,25199.4,21811.7,13387.9,3840.98,13387.9
2026-02-05 09:15:00,09:15 - 09:30,24166.9,23321.7,12809.4,3499.41,12809.4
2026-02-05 09:30:00,09:30 - 09:45,22403.9,23920.6,12169.9,3186.18,12169.9
2026-02-05 09:45:00,09:45 - 10:00,20949.5,24518.4,11767.85,2790.35,11767.85
2026-02-05 10:00:00,10:00 - 10:15,18391.9,24171.7,10940.8,3184.76,10940.8
2026-02-05 10:15:00,10:15 - 10:30,17677.6,24628.2,10840.33,3080.05,10840.33
2026-02-05 10:30:00,10:30 - 10:45,16928.9,26801.8,10967.4,2650.97,10967.4
2026-02-05 10:45:00,10:45 - 11:00,18161.9,29386.4,12082.6,2740.17,12082.6
2026-02-05 11:00:00,11:00 - 11:15,17583.5,31126.5,11672.2,2591.42,11672.2
2026-02-05 11:15:00,11:15 - 11:30,16965.9,32098.9,11055.0,2591.97,11055.0
2026-02-05 11:30:00,11:30 - 11:45,16777.4,34589.3,11103.3,2510.98,11103.3
2026-02-05 11:45:00,11:45 - 12:00,16313.6,36613.3,11226.56,2510.12,11226.56
2026-02-05 12:00:00,12:00 - 12:15,16490.8,38711.8,11256.79,2510.9,11256.79
2026-02-05 12:15:00,12:15 - 12:30,16278.5,39760.5,10915.12,2410.33,10915.12
2026-02-05 12:30:00,12:30 - 12:45,15577.4,41830.0,11263.42,2450.34,11263.42
2026-02-05 12:45:00,12:45 - 13:00,15045.9,44196.7,10830.8,2296.28,10830.8
2026-02-05 13:00:00,13:00 - 13:15,13618.1,46221.5,10344.4,2025.57,10344.4
2026-02-05 13:15:00,13:15 - 13:30,13070.9,46856.0,10119.83,1940.11,10119.83
2026-02-05 13:30:00,13:30 - 13:45,13212.2,46717.1,10439.97,1940.81,10439.97
2026-02-05 13:45:00,13:45 - 14:00,13629.1,46158.5,10612.5,2001.24,10612.5
2026-02-05 14:00:00,14:00 - 14:15,15400.4,43776.3,11166.34,2226.49,11166.34
2026-02-05 14:15:00,14:15 - 14:30,15649.7,41940.5,10703.2,2364.18,10703.2
2026-02-05 14:30:00,14:30 - 14:45,16135.4,40171.8,11089.3,2368.71,11089.3
2026-02-05 14:45:00,14:45 - 15:00,17021.5,39675.6,11972.2,2378.86,11972.2
2026-02-05 15:00:00,15:00 - 15:15,16939.0,35330.5,10815.61,2470.96,10815.61
2026-02-05 15:15:00,15:15 - 15:30,17441.3,33762.5,10672.87,2540.83,10672.87
2026-02-05 15:30:00,15:30 - 15:45,17686.3,31057.5,10762.12,2790.91,10762.12
2026-02-05 15:45:00,15:45 - 16:00,18234.5,29940.9,11398.6,2856.66,11398.6
2026-02-05 16:00:00,16:00 - 16:15,16847.4,28276.0,10453.4,2841.59,10453.4
2026-02-05 16:15:00,16:15 - 16:30,16868.2,27324.8,10457.5,2856.37,10457.5
2026-02-05 16:30:00,16:30 - 16:45,16928.6,24724.1,10437.78,3000.42,10437.78
2026-02-05 16:45:00,16:45 - 17:00,17407.3,22598.2,10004.5,3120.66,10004.5
2026-02-05 17:00:00,17:00 - 17:15,17351.1,20606.2,9603.52,3460.31,9603.52
2026-02-05 17:15:00,17:15 - 17:30,16620.0,18048.3,9764.4,3699.32,9764.4
2026-02-05 17:30:00,17:30 - 17:45,17308.0,16933.3,10991.3,3790.3,10991.3
2026-02-05 17:45:00,17:45 - 18:00,18786.2,17033.2,10296.0,3999.12,10296.0
2026-02-05 18:00:00,18:00 - 18:15,20249.1,15085.7,10726.5,5000.39,10726.5
2026-02-05 18:15:00,18:15 - 18:30,21981.9,13983.7,10970.79,7400.0,10970.79
2026-02-05 18:30:00,18:30 - 18:45,22173.7,13530.4,10454.6,7400.5,10454.6
2026-02-05 18:45:00,18:45 - 19:00,21944.6,13529.4,10451.6,7400.3,10451.6
2026-02-05 19:00:00,19:00 - 19:15,20662.0,12730.3,9504.5,6499.26,9504.5
2026-02-05 19:15:00,19:15 - 19:30,19764.8,12424.1,9156.1,5447.17,9156.1
2026-02-05 19:30:00,19:30 - 19:45,17964.4,12678.8,8600.7,4999.69,8600.7
2026-02-05 19:45:00,19:45 - 20:00,17551.6,13085.0,8624.5,4500.27,8624.5
2026-02-05 20:00:00,20:00 - 20:15,17620.8,13692.8,8915.59,4000.59,8915.59
2026-02-05 20:15:00,20:15 - 20:30,17645.4,13972.9,8950.3,4064.02,8950.3
2026-02-05 20:30:00,20:30 - 20:45,16485.7,15009.0,8904.6,3872.22,8904.6
2026-02-05 20:45:00,20:45 - 21:00,15831.0,15669.3,9030.9,3790.7,9030.9
2026-02-05 21:00:00,21:00 - 21:15,15168.0,16734.0,8940.9,3790.37,8940.9
2026-02-05 21:15:00,21:15 - 21:30,15014.0,18420.1,9279.8,3600.18,9279.8
2026-02-05 21:30:00,21:30 - 21:45,15318.1,20083.6,9207.7,3499.47,9207.7
2026-02-05 21:45:00,21:45 - 22:00,14797.7,21086.7,8857.3,3488.86,8857.3
2026-02-05 22:00:00,22:00 - 22:15,14809.9,22736.6,8465.6,3365.67,8465.6
2026-02-05 22:15:00,22:15 - 22:30,14996.1,23815.3,8907.9,3410.56,8907.9
2026-02-05 22:30:00,22:30 - 22:45,14811.0,24842.1,8644.01,3320.71,8644.01
2026-02-05 22:45:00,22:45 - 23:00,14512.1,25705.3,8752.6,3211.59,8752.6
2026-02-05 23:00:00,23:00 - 23:15,14100.0,27194.7,7820.4,3034.33,7820.4
2026-02-05 23:15:00,23:15 - 23:30,13543.7,27959.6,7540.5,2979.22,7540.5
2026-02-05 23:30:00,23:30 - 23:45,13789.2,28645.6,7361.8,2856.94,7361.8
2026-02-05 23:45:00,23:45 - 24:00,13612.5,28840.3,7146.81,2850.6,7146.81
2026-02-06 00:00:00,00:00 - 00:15,13652.4,30296.0,7831.9,2691.54,7831.9
2026-02-06 00:15:00,00:15 - 00:30,13931.0,32023.6,8039.16,2599.88,8039.16
2026-02-06 00:30:00,00:30 - 00:45,14899.6,33749.7,8405.7,2734.21,8405.7
